text,label
"Deleitar tu paladar, es nuestra especialidad, 
 
Visita nuestro bistró: http://www.parcela70.com/es/      
Llámanos   (646) 156-8046  
 
#ViñedosMexicanos #EnsenadaMexico #EnsenadaBajaCalifornia 
 #ComidaGourmet #Restaurant #Restaurante",0
Toda la comida es . Que sea procesada o poco saludable no la hace menos real. Es lo mismo que llamar #realwomen sólo a las que tenemos curvas. Las otras son de mentira?,0
Un dibujo de hoy...    #fat,1
"Ya puedes consultar tus dudas a través de nuestro chat online 
http://www.setcabarcelona.com/  #anorexia #bulimia",1
Aveces me dan ganas de mandar al Infierno a   luego ... Recuerdo que no hay peor infierno que este ... Es un mal día...,1
"Entre el 0,5% y el 0,7% de las adolescentes sufren #anorexia nerviosa 

 http://ow.ly/CQg2E   #proana",1
"¿Por qué nos cuesta tanto aceptar nuestro cuerpo y encontrar la belleza que hay en él?
http://ow.ly/y8L2y  #anorexia  #dietas",1
"when mides 1,71
pesas 64 kilos
y tienes que perder casi 20
#tablaanaymia  #bulimic #anorexic #46kg #wecandoit",1
"una mina de acá subió fotos de sus costillas poniendo ""amo mis costillas #anorexia ""y un montón de #, sos pelotuda?la dejé de seguir",1
"Segundo día de ayuno, después de haber cumplido mi primera meta <3]",1
"El kéfir de leche es uno de los mejores probióticos que existen, y cuando hace 15 meses que has dejado el azúcar es todo un manjar 
.
 #dietaSinProcesados #enforma #nutricion #salud #rendimiento  #noprocesados #comida #diabetes #cuidate #desayunossaludables",0
Ser una princesa cuesta,1
secretos : no quieres tener pareja xq sientes q nunca vas a ser lo suficientemente bonita para q alguien te quiera de verdad,1
Me da mucha impotencia leer sobre . Intento entender y NOOOO! Es increíble la manipulación que manejan los que escriben los blogs.,1
Nuestra manera de decír buenos días   #goodmorning #poledance #poledancing #poledancer #pole #dance #dancers  #sport #insta #girls #instagram #instamood #instalike #instagood #highheels #exótic #pleaser,0
Vomitar equivale a 20 min. de cárdio. #NoPierdasElTiempo  #ProAna #ProMia,1
"""mi vida era un desastre y no valía para nada, pero Ana sí"" Testimonios   #anorexia
http://ow.ly/4mTJhu",1
"Viernes 15 marzo 2019
CARA A CARA
XII Torneo Boxeo Amateur.

Carlos Cabello  Otoniel Subero.

#boxeo #deporte #entrenamiento #training  #boxing #boxeofemenino #boxeoprofesional… https://www.instagram.com/p/BvDV9vPgc67/?utm_source=ig_twitter_share&igshid=sth80v5x18fb …",0
"Canapés de cangrejo y piña y tapenade, está delicioso
#zamora #españa #comidacasera  #food #foodie #foodporn #foodlover #foodblogger #gastronomia #tasty #lovefood #canapes… https://www.instagram.com/p/BsTcKi9BQyj/?utm_source=ig_twitter_share&igshid=120tnc9pzvs8r …",0
Los Trastornos de la Alimentación a debate. . http://ow.ly/JN9pH,1
"Buenos días. 
Empezamos éste viernes viendo este relleno de la empanada de atún. 
#empanada #atún  #realfooder #somosloquecomemos #ricoysano #noesdieta #hungry #yummy #instadelicious #delicious #foodtruck #instaeat #gourmet #instafood #tasty #foodie #foodblog",0
Cuando te levantas y sabes que hoy tenes gym al menos unas 5 horas.  Eso es bueno.   #Anorexia #Bulimia,1
"Tengo unas deliciosas lentejas con verduras la mar de #healthy y #delicious haciendo chup chup al fuego. He puesto la receta (haciendo el monger lo justo y preciso) en mi stories en IG. ¿Entrará mi receta en los cánones del  este tan famoso? 
https://instagram.com/aventuraembarazo …",0
"Madrecita que cosa mas rica ¿sabes que es? ESPECTACULAAAAAR

#patatas #potatoes   #lacocinademasito #foster en Foster's Hollywood Xanadu https://www.instagram.com/p/BmwM_fPnMwM/?utm_source=ig_twitter_share&igshid=1f7sp55a8lnsz …",0
"No te quedes sin energía a media mañana  

Disfruta de un buen café  y nuestras tostadas  seguro que en #centralparkleon conseguimos que tu mañana mejore 

#café #tostada #restaurante #healthy  #león",0
"Muy buenos días #delifoodies 
Comenzamos el día como ya sabemos con un desayuno completo para empezar la mañana! 
Manzana con canela, tostada con aguacate y un café!!! 

#SaludParaTodos   #sientetebien",0
Nunca llegaré a mi peso de nacimiento.,1
"esas piernas son lo que mas deseo en esta vida, si es que todavia tengo vida #thinspo #proana #thinspiration",1
"""@aromandoleon: @eric_aleAs usá protector bucal de boxeador y listo vomita tranka 120"" #MiaTips #ProMia #Princesas",1
"Más enfermos que #NahirGalarza, están las/los que se hacen cuentas en Ig haciéndose pasar por ella. Cuentas que romantizan la violencia, incluso la idolatran por lo que hizo, como un fenómeno . Nadie controla los ideales de los adolescentes????",1
"Espelta Molida a la Piedra
Quinoa con Semilla de Chia
Masa Madre
Prueba la variedad de nuestras Masas de Pizza 
 % Naturales
Con Masa Madre
AOVE
De venta en @CarrefourES 

#superfood #veganfood #naturalfood  #thinkingfoods",0
"Hoy comemos: espelta con calabacín y cebolla salteada, y los niños además hamburguesas de pavo caseras 
.
.
.
#comerenfamilia #hoycomemos  #espelta #hamburguesacasera #burguer … https://www.instagram.com/p/BsfuIx_lO5P/?utm_source=ig_twitter_share&igshid=1ggv0doqvat1o …",0
Hoy comienzo el proceso de desintoxicación.. el lunes comenzamos la carrera de kilos,1
"Como cada fin de semana, te esperamos hoy sábado a disfrutar de nuestros deliciosos #TacosGuapos #Querétaro #Mixología #CentroSur #Bicuni
.
.
.
#TacoWorkshop #TacoRevolution #Queretaro #Mixología  #foodiemx #gastronomiamx",0
Verte en el espejo y querer matarte de ejercicio,1
"Bonito? 
Bonito es ver mis costillas, hip bones y mi collar bones. 
  #HastaLosHuesos",1
"no puedo ser tan gorda, porque no soy como ellas #thinspo #proana  #thinspiration #thin",1
30 de N día internacional de la lucha contra los trastornos alimenticios #anorexiaybulimia  ¡pide ayuda! http://www.acab.org/es/documentacion/recursos-sanitarios/asociaciones-espana …,1
Pulseras para esconder los cortes....!! #depression  #dietadeciruelas,1
"Hay que ser fitness de vez en cuando. Una breve caminata y una charla agradable con mi bonita. 
#huaweihealt",0
"La edad es sólo un número 
#bodybuildingmotivation #bodybuildingsportlive #bodybuilders  #bodybuildinglifestyle #bodybuilding  life  motivation goals… https://www.instagram.com/p/BvUK-vBl7IR/?utm_source=ig_twitter_share&igshid=1sjggvxi02okj …",0
"VirtuaGym Fitness aplicación gratis con características premium desbloqueadas.
 #gym #fit #workout #motivation #bodybuilding motivation #instagood #fitfam #love #lifestyle #training #health #fitspo #healthy model #fashion http://ow.ly/2Ji330o9MmG",0
"Mi hermana: SOY LA RESISTENCIA, mientras mis amigas se comían un gofre yo fui a un super y me compré unas fresas. ing  @nutri_rivers",0
": @cristipedroche, comprometida con la lucha contra la #anorexia y la #bulimia. http://ow.ly/SGUZE",1
"Desde @WeAreFitness apoyamos esta iniciativa y trabajamos para que en España aunemos fuerzas en ambos sectores  & #Hospitality y sigamos los mismos pasos.
#MakeitReal",0
"Penne rigate con salsa de ceps, piñones tostados y virutas de parmesano 
Esta semana ven a comer a Negresco Restaurant y encuentra este y otros deliciosos platos en el menú  de nuestro chef Jon García
 https://bit.ly/2ST8A32 
#NegrescoPrincess #Gastronomy",0
Receta de Tacos mexicanos caseros y saludables: http://hoycomemossano.com/2018/04/tacos-mexicanos-veganos-soja-texturizada.html … #recetas #saludable  #recetassanas,0
#Deporte Trabaja los tríceps con estos 5 ejercicios,0
"Nunca te des por vencido

Gracias revista Runnin.  Excelente frase
  Nunca dejes de correr 
Si se puede #runningteamsuperacion  #salud #healthylifestyle #healthyfood #ejercicios 
 motivation
#yoelegicorrer #runningteamsuperacion",0
"Jamas entendere a las personas que llegan a extremos con tal de encajar en la #moda, en especial las de",1
"Pues vamos a repetir merienda que está  #GalletasCaseras de #Boniato y #Chocolate y #Cafe  
.
.
#RicoRico #SinAzucar #Avena #Espelta #GalletasSaludables #BoniatoLovers #SweetPotatoCookies #SweetPotato #MeriendasSaludables  #InstaFoo… https://ift.tt/2Dqt290",0
Estoy en ayuno total desde hoy hasta el lunes  clásico,1
"RT @mamaquecomohoy: ROLLITOS CRUJIENTES
 55 minutos  Gluten-free  https://instagram.com/p/Br7stKonGvs/  #mamaquecomohoy #rollitos #rolls #vegan #glutenfree #champiñones #mushrooms #salsa #sauce #herbs #asianfood  #veganfood",0
Clorofilla para adelgazar ¿funciona? | usos y remedios caseros https://youtu.be/osXJx7VhuTg  #adelgazar  #remedioscaseros #remediosnaturales #salud #belleza #metabolismo #gym,0
Lo bueno de estar enferma es que no me dan ganas de comer,1
"Decir una y otra vez ""Estoy bien""  cuando por dentro te estás muriendo.   #Anorexia #Bulimia",1
"Mi chico y yo lo usamos mucho! @RaulSaberEstar. Probad a hcer sirope d cacao. Echadle un poco d agua, removed y voila! Se lo podéis echar a la leche y hcer cola cao fitn o mezclarlo cn un poco d harina d avena y queso fresco batido xa hcer petisui fitness  entre otros",0
"600 normalmente con límite de 700 y 700 con limite de 1000 en ocasiones muy especiales si es menos de 500 mejor :)
#proana  #thinspo",1
“@UgglyZorra Qué guapa y sensual se ve @Anahi en la playa. https://twitter.com/UgglyZorra/status/454474775457320960/photo/1pic.twitter.com/EdQD0G244s ”  creen que sea un #thinspo ??,1
"Comenzamos el finde light, haber como lo acabamos 
 Habas con jamón 
#photooftheday #photography #comidacasera  #instagram #instagramers #food #foodporn #foodlover #foodie… https://www.instagram.com/p/BvCEgPhB2eQ/?utm_source=ig_twitter_share&igshid=oq9b1xgn4hbp …",0
Es verdad que el aa fria te calma el hambre??  #anorexia,1
"¿Tu autoestima se resiente cada día por tu aspecto físico?
Comprar ahora!!
    
https://www.kichink.com/stores/lefit 
Venta de mayoreo y menudeo. 
#loveyourbody #lefitgel  #gymmotivation #gym #motivation #fit #Hardwork #workouts #supplements
@Lefitgel @kichink",0
Cuando entras en el mundo deportivo te das cuenta de que el peso corporal que aparece en la báscula deja de ser tan importante en beneficio de otra serie de métricas,0
"Si tu #empresa aún no ha apostado por una #alimentaciónsaludable...  
Anímalos a contactar con @eatfine_es 

Marca la diferencia y potencia el #rendimiento de tus empleados 
 951 550 371

#Nutrición #EstilodeVida 

 https://elpais.com/economia/2017/10/05/actualidad/1507196810_132506.html?id_externo_rsoc=TW_CC … vía @elpais_economia",0
"Día 2 #RetoPrimavera de @ecomamasalt  Comida de taper, garbanzos con verduras al… https://www.instagram.com/p/BhZFj_yHwGS/",0
Ya extrañaba eso de no desayunar ni comer :3,1
"La gente debe pensarquesoy superficialperosivieranalfondo de mi alma se romperían a llorar.  esparamídestrucción,noparaestardelgada",1
También aprendí a vomitar en silencio #bulimia #anorexia  #ana #mia #Depresion,1
"Llámanos para platicar sobre tu evento y darte la mejor opción para ti. 
 
Visita nuestro sitio web: http://www.parcela70.com/es/    
 
 #ComidaGourmet #Restaurant #Restaurante #RestauranteMexicano #Comidas #CopaDeVino #ValleDeGuadalupe #ViñedosMexicanos #Eventos",0
"Para dar la bienvenida al otoño  ....¡¡Repetimos!! batido de zanahoria, jengibre y naranja.
.
.
.
.
#domingo #batido #smoothie #jengibre #zanahoria #naranja #lifestyle  #food #foodpic #foodporn #foodstyle #vegan #veggie #veganfood #ñam #ins… https://ift.tt/2I7RdYu",0
El exceso se convierte en adicción. Exigete equilibrio.,1
Hoy para comer garbanzos cocidos con   con un poco de aceite de oliva virgen pasado por unos ajitos hechos a la sartén y una lata de atún    #comidasalulable @CentroPadelPro @bullpadelsport,0
A tomar mi te verde  con canela y laurel,1
"#Lasaña de #tofu y calabacín  vía @veggie_boogie  http://ow.ly/j5Az30jzeUy 
.
#comerbien #receta   #vegan",0
"Buenos días princesas y príncipes 

#anaymialifestyle  #anaymiaforeverfriends #anaymiaarequeen #anaymiaporsiempre #anaymiatips #thinsp0 #collarbones #thighgaps #skinny #diet… https://www.instagram.com/p/BuUVok5HSyp/?utm_source=ig_twitter_share&igshid=1mynra7u7axvm …",1
querido Jhon perdona nuestros pecados,1
"Photo: La comida es arte, y el arte se hizo para ver no para comer #HappyMoments  #love http://tmblr.co/Zwetqw1C8NFrK",1
"En vez de invertir tanto en productos de belleza, cómprate",0
#yellow #monday Lunes Amarillo en CAFI Carrera 24 entre calles 29 y 30 si entrenas es bueno pero si te diviertes entrenando ES MEJOR  #gym#salud #gym #salud #gimnasio#gimnasios en… https://www.instagram.com/p/BvKuIgHFOdM/?utm_source=ig_twitter_share&igshid=167yoyudlahof …,0
"Arroz Frito de Coliflor #Vegano | vía Danza de Fogones http://ow.ly/lCqC30kgWda 
.
#receta #vegan #comerbien  #vidasana",0
"Después de dos años quiero volver con  , se que no sera facil pero debo de intentar",1
.~Me Llamaron GORDA Y Cuando Deje De Serlo Me Llamaron ENFERMA~.,1
"@tililozano tú rs cerda xq no has llevadounavidasana.Las chicas q sufren de  no sigan su ejm, +bien lleven vidasana @magalyperu",1
"Insistimos... por qué  son impunes y circulan libremente?

#anorexia #bulimia #thinspo 
 http://ow.ly/IGthN",1
"¿Sabías que también vendemos trampolines?  ⠀⠀⠀
⠀⠀⠀
Visite nuestro sitio web, https://www.hvdeportivo.es/trampolin ⠀⠀
⠀⠀
#gimnasia #gimnasiaritmica #gimnasiaartistica #gimnasiacerebral #gimnasiadeportiva #madrid  #sports #deporte #deportes #trampoline",0
"• Crema de Brócoli, Cebollita y Huevo Poché • ¡Cenita rica, rica que os traigo hoy!  ☞☞ https://www.instagram.com/p/BiASbQTHwAM/   #Brocoli #Veggie",0
"Al mal tiempo un buen yogurt 

#eatclean #yogurth #yogurt #frutas #perdergrasa #comerlimpio #saludable #heatlhyfood #healthy   https://www.instagram.com/p/BqfvYPfBEyW/?utm_source=ig_twitter_share&igshid=gsyun0pyhiau …",0
"A comer!
.
Spaguettis integrales con pisto de verduras al vapor casero 
De postre 
.
.
.
#lunch #comidasana #pistodeverduras #pisto #integral  #pastaintegral … https://www.instagram.com/p/BubYbeOn_X2/?utm_source=ig_twitter_share&igshid=1mffj4czb3n3g …",0
Pongamos esta foto en el refrigerador,1
Photo: #whoknows #bestrong #BeProud #princessana #PrincessMia  #BeAPrincess (en Be a princess) http://ln.is/tumblr.com/ACaLg …,1
"Sólo quiero llegar a mi casa a comer csm, no puedo más con esta hambre. Pero el hambre es belleza entrando a tu cuerpo",1
"Tan importante es cuidarse como dejar que te cuiden y nosotros prometemos sanar apetitos y mimar paladares 
Reservas:  http://www.bacherestaurante.com  y   91 828 95 88
.
.
.
#bacheresta
#madrid 
#restaurante
#gastronomía
#chamberi
#Cadiz 
#sherry 
#menu #comidasana",0
"Cada historia es distinta, pero el dolor es el mismo.

#JuevesDeGanarSeguidores 
#suicida",1
"cada día me veo más gorda 
 #bulimianervosa #bulimicgirl #anorexic #anorexia #bulimia #TCA",1
"completos a esta hora ME DETENGO O KE? #needstop # eateateat  jejeje no,eso no",1
"T A R T A R ¿Queréis un poco?
•
•
•
#comidacasera  #receta #recipe #video #salmon #aguacate en Community of Madrid https://www.instagram.com/p/BlbGuP2gf1L/?utm_source=ig_twitter_share&igshid=1202e49knp49e …",0
"Those people that eat whatever and don't get fat....

Yeah I hate those people   #anamia",1
"Hoy preparamos una #receta #dulce y #saludable, en la que el ingrediente principal es el #boniato. 
http://aligerando.com/recipes/boniato-glaseado-con-manzana/ …
#BoniatoGlaseado #Batata #Manzana #ComidaSaludable #HealthyFood #RecetaSaludable #BlogDeCocina   #SinGluten #SinLactosa #SinAzúcar",0
"#desayuno de campeones: #porridge, #nueces, #cerezas. ¿Me acompañas?
#nutrición, #dieta, #comidasana, , ing, er, , #dietamediterranea,… https://www.instagram.com/p/BkpQCZen1dY/?utm_source=ig_twitter_share&igshid=17n9igldxypht …",0
"Fanática de los #quesos azules, caigo rendida a este sencillo y crujiente #pintxo de gorgonzola y berenjena¿Quieres probarlo?
https://bit.ly/2SloTVZ 
#gastroamantes #foodies #food #saludable #dietamediterránea  #AOVE #nutrition #healthfood  #chefs #lovefood",0
una subió un foto de un capuccino con chocotorta y pone desayunoo  #anorexia #mia #bulimia #proana no puedo,1
Menús para la semana del 28 de enero al 3 de febrero de 2019 http://bit.ly/2B2JCrU  #dietamediterránea   #comidadetemporada #comidadeproximidad #MásMercadoYMenosSupermercado,0
"Cenita de hoy.
Cama de pepino en rodajas.
Guacamole.
Tomate cherry pera.
Aceitunas rellenas de anchoas.
Sésamo.
Especias y hierbas varias.

  #sano #instafood… https://www.instagram.com/p/BnmXy76BuYD/?utm_source=ig_twitter_share&igshid=cjeeviffkabz …",0
La mina pelo rojo debería entrar a nuestro blog de  cierto @Fiura ?,1
Todo cuesta cuando se vuelve a empezar.   #Bulimia #Anorexia,1
"En @amlsport siempre van #onemorestep y por eso nos dan estos grandes consejos #quenadatepare 

#Nutrición #food  #comidasana #trailrunning",0
"ROLLITOS CRUJIENTES
 55 minutos  Gluten-free  https://instagram.com/p/Br7stKonGvs/  #mamaquecomohoy #rollitos #rolls #vegan #glutenfree #champiñones #mushrooms #salsa #sauce #herbs #asianfood  #veganfood",0
Nunca se es lo suficientemente delgado.  #thispiration #skinny,1
"Hora del  postre, los mejores son de Parcela 70.  
 
Visita nuestro sitio web: http://www.parcela70.com/es  
 
 #ComidaGourmet #Restaurant #Restaurante #RestauranteMexicano #Comidas #CopaDeVino #ValleDeGuadalupe #ViñedosMexicanos #Ensenada",0
Hay que aprender a leer entre líneas xD #motivation #diet #salud #eatclean #exercise   #fitlife #fit #training #bodybuilder #health #healthyfood #fitfam #workout #gym… https://www.instagram.com/p/BsBiICzhCYz/?utm_source=ig_twitter_share&igshid=yz7gxgkkji34 …,0
"Bajando el estrés al sonido de la cuerda y un poco de música 
.
.
.
.
.
.
#jumprope #cardioworkout #cardiotime #jump #rope #fatburner  #boxeo #boxing #ring #saltar… https://www.instagram.com/jesusperea24/p/BvV2yGDFJOI/?utm_source=ig_twitter_share&igshid=1cgvssfbsrvdz …",0
Y venga con las modas... Ahora se lleva la dieta pegana: https://www.ticbeat.com/salud/los-pros-y-los-contras-de-la-dieta-de-moda-la-dieta-pegana/ …,0
"Estoy haciendo una #carreradekilos 
participen! entren al link   #ana #calorias #dieta #future #thinsp
http://my.w.tt/UiNb/DsjNqm2xDD",1
Encontrar este desayuno fuera de casa no tiene precio... Bol de chía con fruta y nueces  #desayunoreal   er ing @dorigencoffee https://ift.tt/2LWtQGs,0
"Caliente como “los hierros del infierno”!!!
De los que cuando los coges, los coges por el borde, borde… y que luego te dejan el cuerpo calentito!!!
#CaféÁgora #leonesp #burguer  #slowfood #healthy #menu #gourmet #cafe #quefriohace",0
"Si pasas 10 horas sentado al día, ¿tiene sentido ir al gimnasio a sentarse en una maquina? #estilodevida #ponteenforma #reallife #lifestyle",0
"It me @deadlythintea on this new acc so hey.

#anamia  #proana #promia #edlogic #thinspo #bonespo #fitspo #calories #anorexia #anorexic #builma #bulimic #ednos #eupd #anxity #ptsd",1
grupo de whatsapp manden numero por direct o comentario https://www.instagram.com/p/BBn6PXahFO7/,1
"Perseverancia + trabajo = éxito  
•
•
•
•
•
•
•
•
#work  #gym #motivation #aseguirtrabajando #todosepuede #workout #mykindofthursday en Pilates STUDIOFit Abril de Landa… https://www.instagram.com/mafhdz20/p/BvRi94HAG5X/?utm_source=ig_twitter_share&igshid=13xhcix5o0ey2 …",0
"""@Thinspo0_: miren ese cuerpo, por dios #thinspo #ana #mia  #anorexic #bulimic #cat #selfharm https://twitter.com/herprincess99/status/461263182162452482/photo/1pic.twitter.com/rs4oVW6wB5 "" me e enamorado",1
"Septiembre mes de alerta: Dietas, evitar y saltar comidas, sustitutos del comidas, ... 
http://ow.ly/BwykX  #dietas #anorexia",1
"la gente me dice que estoy adelgazando, yo me veo igual 
 #anorexia #anorexic #bulimia #bulimicgirl #TCA",1
"Cena: 
Licuado de #espinaca #manzana #limon

#vegetarian #diet  #nomasgorda 
#tip : reduce el apetito",1
"Sabéis que es posible que este fin de semana nieve en el norte de España?
Con frío parece que solo apetecen comidas calentitas, verdad? 
 #salud #diet #dieta #nutricion #nutrition  ing #foodporn #healthy #yummy #FelizMiércoles #frio",0
"no son tus amigas: tu amiga se llama #Tina, de #Autoestima. #StopAnorexia #StopBulimia",1
"Utilizamos los mejores ingredientes para crear platillos únicos. 
Reserva hoy en: https://www.parcela70.com/es/#reservation  
#Parcela70#Restaurant #RestauranteMexicano #Comidas #CopaDeVino #ValleDeGuadalupe  #ComidaGourmet #Viñedosmexicanos #Bistro",0
Te animas?? A qué estás esperando para escríbirnos  a consulta@anamatedietista.com  coreeeee que te estamos esperando  #alimentacionsaludable #nutricion #salud … https://www.instagram.com/p/BoQ4IhHgi2N/?utm_source=ig_twitter_share&igshid=7vjycsa6u8ju …,0
"Every day is harder than the other, but princesses gotta be perfect, I had about 300 cal today, based on fruit and juices #princessana #princessmia #skinny",1
"No sé si el problema es que nos tratan como si fuéramos idiotas o es que de verdad desconocen el significado de “comida saludable”. Patético @Renfe
#comidasana",0
Ven dentro mi amor· #ana #anorexia #collarbones #thighgap #Skinny #skinnygirlproblems,1
"#Thinspo para esta noche de lunes. 
#Thinspiration #Skinny",1
"Y tú, ¿con qué emojis describirías tu último entrenamiento? 
.
.
.
.
.
.
.
.
.
.
.
#emojis #emoji #entrenamiento #entrenar #fit  motivation life #lifestyle #training #trainingday #train #saludable #salud #healthy https://ift.tt/2TOfCLI",0
"#UstedDeberia #Pensar ""90-60-90"" no es la verdadera belleza  #anorexia #bulumia #VerdaderaBelleza",1
"#anamia #anorexia #bulimia Volvi. Desde hoy pienso ser mas estricta. Se acabaron los ""caprichos"". AnaMia me entrego a vosotras.",1
"Inculcar la importancia de una buena alimentación tanto a nivel de salud como emocionalmente.
También en proceso de difusión de pegatinas para niños  ideal para casa o cole. Un punto (+1) por cada día que comas",0
"I know I'm lonely 
add me kik:valess1997
#proana",1
"Cardo con una salsa besamel ligera (agua, harina y un chorretin de leche) y almendras  Para chuparse los dedos!!! #navidad #cardo #larioja #logroño   #verdura… https://www.instagram.com/p/BsLKSxrnctj/?utm_source=ig_twitter_share&igshid=4bseiov1l1su …",0
#Anorexia y #Bulimia: El descontrol de creer en Ana y Mía - Psicopedia http://sumo.ly/7Kc6   #Bulimarexia #Psicología,1
El buen leg day xD #motivation  #legday #training #diet #eatclean #exercise  #fitlife #fit #bodybuilder #health #healthyfood #fitfam #workout #gym #fitfood… https://www.instagram.com/fran_trainner/p/BvHD6qBhjAw/?utm_source=ig_twitter_share&igshid=j6tarse8j060 …,0
20 min de rutina de #selife en el #gym done  ahora a desbloquear al dragoon  #gymlife #inked,0
Hola soy la mentira que viene a darte a alguien con quien hablar... #coldprince   #proana #promia #anorexia #bulimia #depressed,1
"""Rojo y morado para poder ser perfecta...""",1
"Quienes entrenan siempre tienen su bolso listo para ir al #Gym en cualquier momento, sin olvidar su #Chocolate 0% azúcar que es perfecto para personas . ¡Tu mejor compañero! #Zisnella #Light #Cacao #Calidad #Venezuela",0
#QUIS Quiero Un Internet Sin anorexia y sin bulimia  #NoLosDejesSolos  http://nolosdejessolos.com/,1
"@weheartit En vez de encontrar fotos  , encuentras ayuda #mequitoelsombrero #yaerahora @risefromground",1
"Miles de tortillitas de camarones salen de nuestro obrador a diario. Todo artesanal, pura tradición y calidad. Al enlace.
#food #foodporn #foodie #cadiz #pescado  #comidasana #pescaitofrito #tortillitadecamarones #camaron
http://mtr.cool/rhkcxre",0
"Gel Reafirmante de #protgtcdmx complementa tu entrenamiento. Conocelo en nuestra tienda Protgt CDMX

#gelreafirmante #protgt #kichink  #teamprotgt  #protgtcdmx Kichink",0
"Somos el reflejo de ti.  ¡Más vida, más Panama Blue! 
-
#PanamaBlue #PanamaBlueWater  #WeArePanamaBlue #Healthy #Water#Lifestyle  #Healthylifestyle https://ift.tt/2OlfPAh",0
Terror en el supermercado  #Me #Market  #Shopping #Beard #Food #bearded #boy #Instacool #Instagood #Madrid @ Mercado de Chamberí https://www.instagram.com/p/BtyDU-HHKoc/?utm_source=ig_twitter_share&igshid=zdkaahb0velm …,0
"Modelos, maniquíes y tallas xxxs, por qué mostramos esta imagen de belleza? http://ow.ly/zmVky   #anorexia #bulimia #belleza",1
"Cómo bajar 20 Kg antes de Navidad, cuando dejando de comer ni es suficiente? Yahoo respuestas
#ana #mia  #proana #promia",1
"""El físico no importa"" #ana #mia  #anorexia #anorexic #bulimia #fat #gorda #calorias https://www.instagram.com/p/BAvybItHE-t/",1
"Hoy me siento mas gorda, mas cansada y mas deprimida que nunca. Todo apesar de que llevo un kilo menos. Logica?",1
@Andrea_Ortiz1  Mi queridísima Ana te quiero mucho mas.,1
ESE MEME LA YUTA QUE LO GORREÓ SI TUVIERA ALGO EN EL ESTOMAGO LO VOMITO DE RISA,1
"Oh mis queridas princesas...las que nunca me abandonan, las q me hacen sonreir, las q sacan lo mejor de mi",1
El valor de las pequeñas cosas! Desayuno para consentir! Feliz viernes!#foodporn #a #gastronomia #restaurante #foodie  #gourmet #dieta #n #bar #comidasana #amigos #chef… https://www.instagram.com/p/BvUi_DoHSJN/?utm_source=ig_twitter_share&igshid=r09812exe795 …,0
Por un lado me siento feliz ya nadie me dice gorda,1
"Alimentación equilibrada es aquella que incluye una diversidad suficiente de alimentos en las cantidades adecuadas. 
RESERVA TU EVENTO EN: 
http://www.bodegasfrubio.com/es/eventos-privados-valle-de-guadalupe/ …   
 #ComidaGourmet #Restaurant #Restaurante #RestauranteMexicano #Comidas",0
"Comienzo hoy:  
P:63kg A:1,57 M1: 60 M2: 57 Meta final: 55",1
"A por las dos de hoy! #PORLABOCA en #Getafe

#proyectoseducativos  #trastornosalimenticios  #TCA",1
"ojalá el agua supiera a hamburguesa 
 #bulimia #bulimianervosa #bulimicgirl #anorexia  #TCA",1
El problema no es el peso sino que la sociedad nos enseñó a odiarnos.  #anamia,1
"RT @Hoy_Cambio: Un VIDEO Consejo !!!!!! Saludos 
https://www.youtube.com/watch?v=67OZM_W2Akk … … … #calorias #metabolismo #salud #adelgazar #adelgazarapido #adelgazarcomiendo #comidasana #comidasaludable #comida  #dieta #alimentacionsaludable #adelgaza",0
